Cluster,GeneSymbol
Enteroendocrine,Chgb
Enteroendocrine,Isl1
Enteroendocrine,Gfra3
Enteroendocrine,Aplp1
Enteroendocrine,Hmgn3
Enteroendocrine,Cck
Enteroendocrine,Rbp4
Enteroendocrine,Pcsk1
Enteroendocrine,Vim
Enteroendocrine,Chga
Enteroendocrine,Scg2
Enteroendocrine,Tac1
Enteroendocrine,Tph1
Enteroendocrine,Ffar2
Enteroendocrine,Bex2
Enteroendocrine,Cdkn1c
Enteroendocrine,Ghrl
Enteroendocrine,Fam183b
Enteroendocrine,Neurog3
Enteroendocrine,Pam
Enteroendocrine,Selenop
Enteroendocrine,Tm4sf4
Enteroendocrine,Sct
Enteroendocrine,Gch1
Enteroendocrine,Gcg
Enteroendocrine,Sst
Enteroendocrine,Cdkn1a
Enteroendocrine,Dnajc12
Enteroendocrine,Hepacam2
Enteroendocrine,Maged2
Enteroendocrine,Cd177
Enteroendocrine,Gip
Enteroendocrine,Myl7
Enteroendocrine,Anxa5
Enteroendocrine,Marcksl1
Enteroendocrine,Fabp5
Enteroendocrine,Upb1
Enteroendocrine,Iapp
Enteroendocrine,Afp
Enteroendocrine,Rgs2
Enteroendocrine,Gstt1
Enteroendocrine,Gadd45g
Enteroendocrine,Maged1
Enteroendocrine,Ttr
Enteroendocrine,Dst
Enteroendocrine,Itm2c
Enteroendocrine,Slc25a35
Enteroendocrine,Slc25a4
Enteroendocrine,S100a13
Enteroendocrine,Ppp1r15a
Enteroendocrine,Rogdi
Enteroendocrine,Rph3al
Enteroendocrine,Tuba1a
Enteroendocrine,Nr4a2
Enteroendocrine,Reg4
Enteroendocrine,Bex3
Enteroendocrine,5330417C22Rik
Enteroendocrine,Rhob
Enteroendocrine,Gadd45a
Enteroendocrine,Ddc
Enteroendocrine,Tpst2
Enteroendocrine,Upp1
Enteroendocrine,Arl3
Enteroendocrine,Cited2
Enteroendocrine,Retnla
Enteroendocrine,Nts
Enteroendocrine,Rhoc
Enteroendocrine,Rcn1
Enteroendocrine,Atf6
Enteroendocrine,Rap1gap2
Enteroendocrine,Agr3
Enteroendocrine,Ypel3
Enteroendocrine,Ncald
Enteroendocrine,Oxr1
Enteroendocrine,Camk2n1
Enteroendocrine,Atxn10
