"type","geneID","p_val","avg_logFC","pct.1","pct.2","p_val_adj"
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Pef1",1.76775336516758e-60,-0.263647682397585,0.371,0.791,5.48940452485489e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Dcbld1",2.07886121580025e-60,-0.243260897992407,0.295,0.73,6.45548773342452e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Cox7b",2.38792018378437e-60,-0.232557241076127,0.993,0.999,7.41520854670559e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gstt3",2.95549311323476e-60,0.352802229235778,0.543,0.351,9.1776927645279e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Reep4",2.99583036276869e-60,-0.222328039164074,0.167,0.557,9.30295202550561e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Gng5",3.08449516717393e-60,-0.219527192431761,0.987,0.998,9.5782828426252e-56
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Mlx",3.5126838248885e-60,-0.259934260260317,0.408,0.835,1.09079370814263e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Dlst",3.72874147493743e-60,-0.249736814771102,0.381,0.808,1.15788609021232e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Mrps7",4.26928221919881e-60,-0.263876580441675,0.738,0.964,1.32574020752781e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Serbp1",4.40372891978824e-60,-0.208403752728334,0.999,0.997,1.36748994146184e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Znfx1",6.04183683804532e-60,-0.167280206326594,0.061,0.399,1.87617159331821e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Limk2",6.34414962725506e-60,0.354010832618986,0.677,0.548,1.97004878375152e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Lsm4",1.21353620950769e-59,-0.227889560061012,0.983,1,3.76839399138424e-55
Stem.Cd74n_Control_vs_TA_Cd74p_IFNg_wilcox_lfc0.1.csv,"Tax1bp1",1.27909754969488e-59,-0.27916867619061,0.944,0.996,3.97198162106752e-55
